states,median_household_income_2019,median_family_income_2019,population_2020,number_of_households_2019,number_of_families_2019,growth_in_income_over_10_years,inequality_coefficient_2019,inequality_coefficient_2015to2019,unemployment_rate,poverty_rate,federal_funding,state_funding,social_funding,white,black,hispanic,asian,american_indian,other_pacific_islander,multiple_races,density,growthsince2010,lawsrank,grade2019,gundeathrate
New Hampshire,77933,97112,1.377529e+06,541396,346413,2.75,0.4406,0.4384,2.9,7.42,2069,5258,1670,0.876,0.012,0.043,0.027,0,0,0.043,156.70245,0.0657,30,10,10.66
New Jersey,85751,105705,9.288294e+06,3.286264e+06,2.241555e+06,2.66,0.4782,0.4814,7.1,9.67,1875,6739,2030,0.522,0.121,0.216,0.1,0.001,0,0.04,1258.5582,0.05272,2,100,4.75
New Mexico,51945,61826,2.117522e+06,793420,496961,2.37,0.4768,0.4784,6.9,18.55,3284,10909,3432,0.348,0.016,0.503,0.014,0.081,0,0.037,17.39527,0.02469,17,50,20.75
New York,72108,89475,2.0201248e+07,7.446812e+06,4.636356e+06,3.23,0.5149,0.5142,7.1,13.58,1126,11778,3449,0.535,0.132,0.196,0.087,0.002,0,0.048,413.71664,0.00613,4,95,4.03
North Carolina,57341,72049,1.0439388e+07,4.046348e+06,2.630365e+06,3.16,0.4743,0.476,4.2,13.98,2312,10352,1483,0.611,0.197,0.101,0.031,0.009,0,0.05,222.7994,0.13597,24,30,13.26
North Dakota,64577,87055,779094,323519,189509,3.19,0.4558,0.4537,3.5,10.53,2824,8518,2060,0.827,0.029,0.039,0.014,0.043,0,0.044,11.31271,0.16057,39,10,11.36
Ohio,58642,74911,1.1799448e+07,4.73034e+06,2.942581e+06,2.96,0.4651,0.4654,5.4,13.62,1473,5640,2449,0.767,0.115,0.043,0.024,0.001,0.001,0.049,287.5058,0.01831,24,30,13.05
Oklahoma,54449,68358,3.959353e+06,1.495151e+06,975754,2.91,0.4739,0.4689,3,15.27,2348,7031,1796,0.629,0.065,0.119,0.023,0.069,0.001,0.093,59.01851,0.07918,40,10,16.71
Oregon,67058,82540,4.237256e+06,1.649352e+06,1.021588e+06,4.14,0.45,0.4586,4.7,12.36,4260,8515,3033,0.721,0.018,0.14,0.045,0.007,0.004,0.065,44.00522,0.10256,15,60,11.68
Pennsylvania,63463,81075,1.30027e+07,5.119249e+06,3.228224e+06,2.85,0.4745,0.472,6.2,11.95,4073,5491,2904,0.739,0.097,0.084,0.037,0.001,0,0.043,289.0275,0.01807,12,60,12.47
Rhode Island,71169,89373,1.097379e+06,407174,249987,3.49,0.4628,0.4702,5.2,11.58,2155,5340,2915,0.689,0.043,0.174,0.03,0.002,0,0.06,1054.6257,0.03602,9,90,3.28
South Carolina,56227,70537,5.118425e+06,1.975915e+06,1.286326e+06,3.29,0.4747,0.474,4.1,14.68,2520,7157,1686,0.628,0.247,0.063,0.016,0.002,0,0.043,178.70337,0.16142,31,10,17.51
South Dakota,59533,76826,886667,353799,223964,2.93,0.436,0.444,2.9,12.81,2442,6363,1373,0.802,0.02,0.04,0.015,0.076,0,0.045,12.1814,0.13425,44,10,13.5
Tennessee,56071,69993,6.91084e+06,2.654737e+06,1.727895e+06,3.41,0.4749,0.4788,4.4,14.62,1338,8260,1883,0.723,0.151,0.06,0.017,0.001,0,0.048,173.0163,0.12421,29,20,17.82
Texas,64034,76727,2.9145504e+07,9.985126e+06,6.857641e+06,3.11,0.4753,0.4791,5.6,14.22,1912,8160,1483,0.393,0.114,0.404,0.052,0.002,0.001,0.035,116.75553,0.21295,34,10,12.22
Utah,75780,86152,3.271616e+06,1.023855e+06,760968,3.68,0.4268,0.4265,2.4,9.13,3285,6632,1413,0.76,0.01,0.147,0.025,0.006,0.008,0.044,41.6513,0.23829,27,30,13.14
Vermont,63001,83458,643077,262767,156153,2.74,0.4471,0.4484,2.9,10.78,5728,6331,3040,0.906,0.011,0.02,0.018,0,0,0.044,70.2133,0.03422,23,40,12.63
Virginia,76456,93497,8.631393e+06,3.191847e+06,2.094763e+06,2.6,0.469,0.4689,3.8,10.01,2690,6120,1754,0.595,0.177,0.102,0.068,0.002,0.001,0.056,220.55894,0.08859,26,30,11.76
Washington,78687,94709,7.705281e+06,2.932477e+06,1.882896e+06,3.93,0.4577,0.4573,4.9,10.19,4309,8954,1793,0.646,0.037,0.136,0.094,0.007,0.006,0.073,117.83476,0.16451,10,90,10.32
West Virginia,48850,60920,1.793716e+06,728175,470472,2.76,0.4644,0.4667,4,17.1,1795,7883,2777,0.906,0.025,0.017,0.008,0,0,0.043,73.41651,-0.0476,34,10,18.11
Wisconsin,64168,81829,5.893718e+06,2.386623e+06,1.470116e+06,3.04,0.4391,0.4448,3.9,10.97,2671,8638,2077,0.793,0.058,0.075,0.03,0.005,0,0.039,109.03241,0.03833,21,40,10.13
Wyoming,65003,79946,576851,233128,152859,2.18,0.4345,0.4361,4,10.76,3049,13423,1499,0.813,0.009,0.106,0.007,0.017,0,0.048,6.00743,0.03487,48,10,21.09
